rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
68,65.0,65.0,TU And,M,8.09471,26.02944,7.500,13.500,False,6.000,313.00000000,Jersey City,Fairbanks|Jersey City,71.5,180,2026-09-21,2026-09-22T00:30:00-04:00,-36.6,ok,138,273.9983,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=28,"max altitude 71.5 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 6.00 mag; bright enough for Jersey City (7.50); long-period cadence friendly (313.00 d); well away from Galactic plane (b=-36.6 deg); also observable from Fairbanks; well-covered in AAVSO recently (138 observations)"
69,65.0,65.0,AQ And,SRB,6.88200,35.58736,7.700,9.500,False,1.800,169.00000000,Jersey City,Fairbanks|Jersey City,79.0,210,2026-09-21,2026-09-22T00:30:00-04:00,-27.0,ok,244,1.0033,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=70,"max altitude 79.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.80 mag; bright enough for Jersey City (7.70); long-period cadence friendly (169.00 d); well away from Galactic plane (b=-27.0 deg); also observable from Fairbanks; well-covered in AAVSO recently (244 observations)"
70,65.0,73.0,CF And,LB,345.93253,37.85378,9.800,11.000,False,1.200,,Jersey City,Fairbanks|Jersey City,87.0,300,2026-09-21,2026-09-22T00:00:00-04:00,-20.3,unavailable,,,,,,,,ok,1916175611589231488,3.813,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=107,"max altitude 87.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.20 mag; bright enough for Jersey City (9.80); no catalog period listed; also observable from Fairbanks; AAVSO recent-coverage check unavailable; Gaia ipd_frac_multi_peak=14.00 suggests blended/contaminated PSF"
71,65.0,73.0,FG And,LB,11.04992,45.06047,12.400,14.200,False,1.800,,Jersey City,Fairbanks|Jersey City,77.2,210,2026-09-21,2026-09-22T00:30:00-04:00,-17.8,unavailable,,,,,,,,ok,388099640074833920,3.621,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=171,"max altitude 77.2 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.80 mag; bright enough for Jersey City (12.40); no catalog period listed; also observable from Fairbanks; AAVSO recent-coverage check unavailable; Gaia ipd_frac_multi_peak=2.00 suggests blended/contaminated PSF"
72,65.0,73.0,EI And,LB,16.85983,45.60942,10.700,11.400,False,0.700,,Jersey City,Fairbanks|Jersey City,73.0,180,2026-09-21,2026-09-22T00:30:00-04:00,-17.2,unavailable,,,,,,,,ok,376891390340886784,4.137,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=153,"max altitude 73.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.70 mag; bright enough for Jersey City (10.70); no catalog period listed; also observable from Fairbanks; AAVSO recent-coverage check unavailable; Gaia ipd_frac_multi_peak=3.00 suggests blended/contaminated PSF"
73,63.8,67.7,HI Aql,M,301.85797,9.55908,10.600,13.500,False,2.900,285.47000000,Jersey City,Jersey City|Fairbanks,58.8,240,2026-09-20,2026-09-20T21:00:00-04:00,-12.1,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=1349,"max altitude 58.8 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 2.90 mag; bright enough for Jersey City (10.60); long-period cadence friendly (285.47 d); also observable from Fairbanks"
74,63.2,79.0,GL Dra,SRB,254.72546,54.72847,8.600,8.840,False,0.240,,Jersey City,Fairbanks|Jersey City,66.2,150,2026-09-18,2026-09-18T20:00:00-04:00,37.9,unavailable,,,,,,,,ok,1426211171301066368,2.781,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13866,"max altitude 66.2 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.24 mag; bright enough for Jersey City (8.60); no catalog period listed; well away from Galactic plane (b=37.9 deg); also observable from Fairbanks; AAVSO recent-coverage check unavailable"
75,63.1,63.1,RW Aqr,M,320.77420,0.83781,8.500,14.500,False,6.000,140.00000000,Jersey City,Jersey City|Fairbanks,50.1,210,2026-09-17,2026-09-17T22:30:00-04:00,-32.7,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=860,"max altitude 50.1 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 6.00 mag; bright enough for Jersey City (8.50); long-period cadence friendly (140.00 d); well away from Galactic plane (b=-32.7 deg); also observable from Fairbanks"
76,63.0,71.0,PMAK V145,EA,329.08664,29.41544,13.050,13.190,False,0.140,67.95030000,Jersey City,Fairbanks|Jersey City,78.7,300,2026-09-18,2026-09-18T23:00:00-04:00,-19.6,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=10867900,max altitude 78.7 deg from Jersey City; long nightly window from Jersey City; modest catalog amplitude about 0.14 mag; bright enough for Jersey City (13.05); long-period cadence friendly (67.95 d); also observable from Fairbanks
77,62.9,72.2,EQ Her,L,269.14841,24.81306,13.029,1.113,True,1.113,82.53549000,Jersey City,Fairbanks|Jersey City,69.9,150,2026-09-18,2026-09-18T20:00:00-04:00,22.5,unavailable,,,,,,,,ok,4580976044488834176,3.753,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14971,"max altitude 69.9 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.11 mag; bright enough for Jersey City (13.03); long-period cadence friendly (82.54 d); also observable from Fairbanks; AAVSO recent-coverage check unavailable; Gaia ipd_frac_multi_peak=5.00 suggests blended/contaminated PSF"
78,62.7,62.7,SW Her,RRAB,254.61481,21.54766,13.520,14.730,False,1.210,0.49285800,Jersey City,Fairbanks|Jersey City,58.7,90,2026-09-18,2026-09-18T20:00:00-04:00,34.0,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14834,"max altitude 58.7 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.21 mag; bright enough for Jersey City (13.52); time-series candidate (0.4929 d); well away from Galactic plane (b=34.0 deg); also observable from Fairbanks"
79,62.6,62.6,TY Aqr,M,327.02039,0.36728,11.800,15.000,False,3.200,214.00000000,Jersey City,Jersey City|Fairbanks,49.6,180,2026-09-15,2026-09-15T23:00:00-04:00,-38.1,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=877,"max altitude 49.6 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 3.20 mag; bright enough for Jersey City (11.80); long-period cadence friendly (214.00 d); well away from Galactic plane (b=-38.1 deg); also observable from Fairbanks"
80,62.5,90.6,AE Ari,LB,35.31038,23.42661,7.400,7.800,False,0.400,30.97601300,Jersey City,Fairbanks|Jersey City,52.5,60,2026-09-22,2026-09-23T00:30:00-04:00,-35.0,ok,0,,,,,,,ok,101708953033736576,3.043,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=3741,"max altitude 52.5 deg from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.40 mag; bright enough for Jersey City (7.40); long-period cadence friendly (30.98 d); well away from Galactic plane (b=-35.0 deg); also observable from Fairbanks; sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=7.00 suggests blended/contaminated PSF"
81,62.0,65.8,V0438 Aql,M,301.25616,7.68694,9.700,14.500,False,4.800,283.00000000,Jersey City,Jersey City|Fairbanks,57.0,210,2026-09-20,2026-09-20T21:00:00-04:00,-12.6,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=1577,"max altitude 57.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 4.80 mag; bright enough for Jersey City (9.70); long-period cadence friendly (283.00 d); also observable from Fairbanks"
82,61.8,61.8,EX Aqr,EB,318.81158,2.47917,11.600,12.300,False,0.700,0.88938420,Jersey City,Jersey City|Fairbanks,51.8,210,2026-09-15,2026-09-15T22:30:00-04:00,-30.2,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=1012,"max altitude 51.8 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.70 mag; bright enough for Jersey City (11.60); time-series candidate (0.8894 d); well away from Galactic plane (b=-30.2 deg); also observable from Fairbanks"
83,61.7,77.0,EM And,M,22.05935,50.00415,12.700,15.000,False,2.300,280.00000000,Jersey City,Fairbanks|Jersey City,68.7,150,2026-09-21,2026-09-22T00:30:00-04:00,-12.4,ok,6,,,,,,,ok,400522781439178112,5.598,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=156,"max altitude 68.7 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 2.30 mag; bright enough for Jersey City (12.70); long-period cadence friendly (280.00 d); also observable from Fairbanks; AAVSO has 6 recent observations; Gaia ipd_frac_multi_peak=6.00 suggests blended/contaminated PSF"
