rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
11,97.8,97.8,GH Dra,LB:,248.89954,61.84683,10.040,10.190,False,0.150,,Jersey City,Jersey City,65.8,210,2026-05-17,2026-05-18T00:30:00-04:00,39.5,ok,0,,,ok,V* GH Dra,LP?,0.014,ok,1625465733638160000,2.529,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=13863,"max altitude 65.8 deg from Jersey City; long nightly window from Jersey City; uncertain or broad VSX type (LB:); classical GCVS variable, suitable for practice and follow-up; modest catalog amplitude about 0.15 mag; bright enough for Jersey City (10.04); no catalog period listed; well away from Galactic plane (b=39.5 deg); sparse AAVSO coverage (0 recent observations); Gaia ipd_frac_multi_peak=3.00 suggests blended/contaminated PSF"
12,95.0,95.0,GS Boo,EA,225.12337,33.67283,11.400,12.000,False,0.600,1.25681600,Jersey City,Jersey City,83.0,210,2026-05-13,2026-05-14T00:30:00-04:00,61.5,ok,0,,,ok,V* GS Boo,EB*,0.122,ok,1289826718200130688,0.588,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4504,"max altitude 83.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.60 mag; bright enough for Jersey City (11.40); time-series candidate (1.2568 d); well away from Galactic plane (b=61.5 deg); sparse AAVSO coverage (0 recent observations)"
13,95.0,95.0,VV CVn,EB,199.42346,32.66722,13.600,14.160,False,0.560,0.53313130,Jersey City,Jersey City,81.9,210,2026-05-17,2026-05-17T22:30:00-04:00,82.1,ok,0,,,ok,V* VV CVn,EB*,0.018,ok,1466664815427059200,0.613,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5057,"max altitude 81.9 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.56 mag; bright enough for Jersey City (13.60); time-series candidate (0.5331 d); well away from Galactic plane (b=82.1 deg); sparse AAVSO coverage (0 recent observations)"
14,95.0,95.0,YZ CVn,EA/SD,209.20380,28.73894,12.500,13.400,False,0.900,1.17555560,Jersey City,Jersey City,78.0,210,2026-05-12,2026-05-12T23:30:00-04:00,75.5,ok,0,,,ok,V* YZ CVn,EB*,0.062,ok,1452051275101538816,0.446,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5070,"max altitude 78.0 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.90 mag; bright enough for Jersey City (12.50); time-series candidate (1.1756 d); well away from Galactic plane (b=75.5 deg); sparse AAVSO coverage (0 recent observations)"
15,95.0,95.0,WW Boo,RRAB,224.22781,25.58361,12.400,13.650,False,1.250,0.47926300,Jersey City,Jersey City,74.9,210,2026-05-12,2026-05-13T00:30:00-04:00,61.9,ok,0,,,,,,,ok,1268064806104879872,0.544,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4348,"max altitude 74.9 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.25 mag; bright enough for Jersey City (12.40); time-series candidate (0.4793 d); well away from Galactic plane (b=61.9 deg); sparse AAVSO coverage (0 recent observations)"
16,95.0,95.0,VX Boo,RRAB,219.74892,25.14511,12.850,13.820,False,0.970,0.59114900,Jersey City,Jersey City,74.4,210,2026-05-15,2026-05-16T00:00:00-04:00,65.8,ok,0,,,,,,,ok,1279064217349654912,0.615,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4345,"max altitude 74.4 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.97 mag; bright enough for Jersey City (12.85); time-series candidate (0.5911 d); well away from Galactic plane (b=65.8 deg); sparse AAVSO coverage (0 recent observations)"
17,95.0,95.0,BL Leo,EW/KW,176.40988,24.78083,13.800,14.500,False,0.700,0.28193060,Jersey City,Jersey City,74.1,210,2026-05-09,2026-05-09T21:30:00-04:00,75.0,ok,0,,,,,,,ok,4005077554939612288,1.092,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=17120,"max altitude 74.1 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.70 mag; bright enough for Jersey City (13.80); time-series candidate (0.2819 d); well away from Galactic plane (b=75.0 deg); sparse AAVSO coverage (0 recent observations)"
18,95.0,95.0,WZ Boo,RRAB,225.53886,24.49504,13.400,14.200,False,0.800,0.57749900,Jersey City,Jersey City,73.8,210,2026-05-13,2026-05-14T00:30:00-04:00,60.5,ok,0,,,,,,,ok,1264746445652712320,0.639,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4351,"max altitude 73.8 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.80 mag; bright enough for Jersey City (13.40); time-series candidate (0.5775 d); well away from Galactic plane (b=60.5 deg); sparse AAVSO coverage (0 recent observations)"
19,95.0,95.0,DD Boo,RRC/BL,222.83366,23.54167,12.400,12.800,False,0.400,0.33933300,Jersey City,Jersey City,72.8,210,2026-05-10,2026-05-11T00:30:00-04:00,62.7,ok,0,,,,,,,ok,1265765555492764544,0.394,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=4430,"max altitude 72.8 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.40 mag; bright enough for Jersey City (12.40); time-series candidate (0.3393 d); well away from Galactic plane (b=62.7 deg); sparse AAVSO coverage (0 recent observations)"
20,94.0,94.0,ZZ CVn,LB,209.79625,45.47122,10.900,11.800,False,0.900,,Jersey City,Jersey City,85.2,210,2026-05-05,2026-05-06T00:00:00-04:00,67.2,ok,0,,,,,,,ok,1508733470335664896,3.892,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=5071,"max altitude 85.2 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.90 mag; bright enough for Jersey City (10.90); no catalog period listed; well away from Galactic plane (b=67.2 deg); sparse AAVSO coverage (0 recent observations)"
